Unnamed: 0,repo_name,repo_owner,project_url,description,size,watchers_count,forks_count,open_issues,issues > 8,pull_req > 0,commits > 20,contributors > 8,stars
540,fastspline,jamesorr,https://github.com/jamesorr/fastspline,Fast smoothing spline routine in Fortran 90 usable in python,326,11,0,0,NO,NO,NO,NO,11
541,CloverLeaf,Mantevo,https://github.com/Mantevo/CloverLeaf,Compressible Euler equations on a Cartesian grid,113,11,0,0,NO,NO,NO,NO,11
542,atmos,VirtualPlanetaryLaboratory,https://github.com/VirtualPlanetaryLaboratory/atmos,,18184,11,6,3,NO,YES,NO,NO,11
543,AtChem2,AtChem,https://github.com/AtChem/AtChem2,Atmospheric chemistry box-model for the MCM,5048,11,6,29,YES,YES,YES,NO,11
544,aronnax,edoddridge,https://github.com/edoddridge/aronnax,"An idealised isopycnal model that can be run either with n+1/2 layers, or with n layers and variable bathymetry.",70320,10,2,38,YES,YES,YES,NO,10
545,NHWAVE,JimKirby,https://github.com/JimKirby/NHWAVE,NHWAVE Developer Group and Software Distribution,42183,10,12,10,NO,YES,YES,NO,10
546,FEST-3D,FEST3D,https://github.com/FEST3D/FEST-3D,The source code for Finite volume Explicit STructured 3Dimensional (FEST-3D) solver.,7044,10,2,4,NO,YES,YES,NO,10
547,mizuRoute,NCAR,https://github.com/NCAR/mizuRoute,Stand-alone streamflow routing model,28702,10,20,6,NO,YES,YES,NO,10
548,openpde,francescosalvadore,https://github.com/francescosalvadore/openpde,,5432,10,0,3,NO,YES,YES,NO,10
549,allen-tildesley,glennklockwood,https://github.com/glennklockwood/allen-tildesley,"Sample code from Allen & Tildesley's Computer Simulation of Liquids, 1st Ed.  See https://github.com/Allen-Tildesley/examples for modernized and updated examples from the 2nd edition.",114,10,12,0,NO,NO,NO,NO,10
550,pyhyp,mdolab,https://github.com/mdolab/pyhyp,pyHyp generates volume meshes from surface meshes using hyperbolic marching.,9741,10,13,2,NO,YES,YES,NO,10
551,DNAWorks,davidhoover,https://github.com/davidhoover/DNAWorks,Automatic oligonucleotide design for PCR-based gene synthesis ,88,10,14,2,NO,NO,YES,NO,10
552,landslides-trigrs,usgs,https://github.com/usgs/landslides-trigrs,,286,10,13,2,NO,YES,YES,NO,10
553,FortLua,adolgert,https://github.com/adolgert/FortLua,Example of Calling Lua from Fortran,127,10,2,1,NO,YES,NO,NO,10
554,neuralnetwork,anjohan,https://github.com/anjohan/neuralnetwork,"Simple, parallel, object-oriented Fortran neural network",29,10,0,0,NO,NO,NO,NO,10
555,fishman,dongli,https://github.com/dongli/fishman,A SCVT mesh generation tool,142,10,1,0,NO,YES,YES,NO,10
556,scalapack,Reference-ScaLAPACK,https://github.com/Reference-ScaLAPACK/scalapack,ScaLAPACK development repository,2805,10,9,5,NO,YES,YES,NO,11
557,MORFEUS-Source,sourceryinstitute,https://github.com/sourceryinstitute/MORFEUS-Source,Multi-physics Object-oriented Reconfigurable Fluid Environment for Unified Simulations,4029,10,0,5,NO,YES,YES,NO,10
558,generic_rk,cbcoutinho,https://github.com/cbcoutinho/generic_rk,A generic Runge-Kutta module to solve a system of ODEs,1647,10,1,0,NO,NO,YES,NO,10
559,sod,gcmt-group,https://github.com/gcmt-group/sod, Site-Occupation Disorder,377,10,8,0,NO,NO,YES,NO,10
560,CCFDV3.0,PARALLELCCFD,https://github.com/PARALLELCCFD/CCFDV3.0,"CCFDV3.0 is an open-source written in fortran for the analysis of CFD problems on structured meshes (CGNS format).                           用户手册详见doc/文件夹中,编译方法详见README文件。修改了兰氏温度和开氏温度转换错误。",2809,10,5,1,NO,NO,YES,NO,10
561,smash,cmsi,https://github.com/cmsi/smash,Massively parallel software for quantum chemistry calculations ,6958,10,4,1,NO,YES,YES,NO,10
562,Algorithms,andreypudov,https://github.com/andreypudov/Algorithms,The Laboratory of Algorithms,841,10,2,0,NO,NO,YES,NO,10
563,connectivity-modeling-system,beatrixparis,https://github.com/beatrixparis/connectivity-modeling-system,"The CMS is a multiscale stochastic Lagrangian framework developed by Paris' Lab at the Rosenstiel School of Marine & Atmospheric Science to study complex migrations and give probability estimates of dispersion, connectivity, fate of pollutants, and other Lagrangian phenomena. This repository facilitates community contributions to CMS modules.",5912,10,15,16,YES,YES,YES,NO,10
564,fold2Bloch-Wien2k,rubel75,https://github.com/rubel75/fold2Bloch-Wien2k,Unfolding of first-principle electronic band structure,1339,10,4,0,NO,NO,YES,NO,10
565,DRC_Fortran,TUDelft-DataDrivenControl,https://github.com/TUDelft-DataDrivenControl/DRC_Fortran,"Delft Research Controller (DRC), Bladed-style DISCON baseline wind turbine controller",2184,10,9,1,NO,YES,YES,NO,10
566,qe-gipaw,dceresoli,https://github.com/dceresoli/qe-gipaw,QE-GIPAW for Quantum-Espresso (official repository),4892,10,7,1,NO,YES,YES,NO,10
567,piernik,piernik-dev,https://github.com/piernik-dev/piernik,Piernik MHD Code,26356,10,15,27,YES,YES,YES,NO,10
568,ester,ester-project,https://github.com/ester-project/ester,Evolution STEllaire en Rotation.,110804,10,5,1,NO,YES,YES,NO,11
569,SimpleCrop,chporter,https://github.com/chporter/SimpleCrop,Ricardo Braga's Simple Crop model. Used as a simple example of a modular crop model in the style of DSSAT-CSM.,59,10,17,0,NO,NO,NO,NO,10
570,HPCAcademyFortran,ZedThree,https://github.com/ZedThree/HPCAcademyFortran,Fortran course for HPC Academy,11293,10,0,0,NO,NO,YES,NO,10
571,FORESEER,szaghi,https://github.com/szaghi/FORESEER,FOrtran RiEmann SolveErs EnviRonment,15054,10,2,1,NO,YES,YES,NO,10
572,WPS,NCAR,https://github.com/NCAR/WPS,,1868,10,8,1,NO,YES,YES,NO,10
573,swig-fortran-dev,sethrj,https://github.com/sethrj/swig-fortran-dev,Development/testing repo for SWIG+Fortran,604,10,1,0,NO,NO,YES,NO,11
574,OpenSTAP,HaoguangYang,https://github.com/HaoguangYang/OpenSTAP,"OpenSTAP is a Finite Element Method (FEM) Solver based on STAP (KJ Bathe, FORTRAN IV), and modified version STAP90 (Prof. Xiong Zhang, Tsinghua University, FORTRAN 90). Basic elements, some advanced elements and methods are added and an Abaqus interface as well. Works with ParaView and Intel MKL.",108652,10,10,0,NO,NO,YES,NO,10
575,nitsol,cmacmackin,https://github.com/cmacmackin/nitsol,Unofficial mirror of NITSOL library,111,10,2,0,NO,NO,NO,NO,10
576,nka,nncarlson,https://github.com/nncarlson/nka,Nonlinear Krylov acceleration of fixed-point and Newton-like methods,708,10,2,0,NO,NO,YES,NO,10
577,playmol,atoms-ufrj,https://github.com/atoms-ufrj/playmol,Playmol is a(nother) software for building molecular models,1861,10,4,0,NO,YES,YES,NO,10
578,daglib,jacobwilliams,https://github.com/jacobwilliams/daglib,Directed Acyclic Graphs With Modern Fortran,56,10,2,0,NO,NO,NO,NO,10
579,NTPoly,william-dawson,https://github.com/william-dawson/NTPoly,A massively parallel library for computing the functions of sparse matrices. ,9427,10,3,3,NO,YES,YES,NO,10
580,focal,LKedward,https://github.com/LKedward/focal,A modern Fortran abstraction layer for OpenCL,312,10,1,0,NO,YES,YES,NO,10
581,pfunit,laristra,https://github.com/laristra/pfunit,Mirror of PFUnit repository (http://git.code.sf.net/p/pfunit/code),12171,10,5,1,NO,NO,YES,YES,10
582,MISTRAL,pseudospectators,https://github.com/pseudospectators/MISTRAL,Experimental research code for 3D Navier-Stokes equation using the method of artificial compressibility and finite differences,1722,10,2,0,NO,NO,YES,NO,10
583,array_passing_performance,jlokimlin,https://github.com/jlokimlin/array_passing_performance,This project studies the impact of passing various types of arrays as dummy (formal) arguments.,18,10,0,0,NO,NO,NO,NO,10
584,fortran-cuda-interfaces,MentorEmbedded,https://github.com/MentorEmbedded/fortran-cuda-interfaces,,19,10,0,0,NO,NO,NO,NO,10
585,piclas,piclas-framework,https://github.com/piclas-framework/piclas,"PICLas is a parallel, three-dimensional PIC-DSMC solver developed cooperatively by the Institute of Space Systems, Institute of Aerodynamics and Gas Dynamics at the University of Stuttgart and the spin-off boltzplatz. PICLas is a flexible particle-based plasma simulation suite.",209639,10,3,0,NO,NO,YES,NO,10
586,modern-fortran,floquet,https://github.com/floquet/modern-fortran,,86163,10,0,0,NO,NO,YES,NO,10
587,libdspl-2.0,Dsplib,https://github.com/Dsplib/libdspl-2.0,,34837,10,2,0,NO,YES,YES,NO,10
588,iESM,E3SM-Project,https://github.com/E3SM-Project/iESM,The Integrated Earth System Model (iESM) couples the Global Change Assessment Model  to the Community Earth System Model,45125,10,4,1,NO,NO,NO,NO,10
589,factual,cmacmackin,https://github.com/cmacmackin/factual,Field Abstract Calculus Type Useable and Aesthetic Library,373,10,0,0,NO,NO,YES,NO,10
590,fortran-kmeans,Eroica-cpp,https://github.com/Eroica-cpp/fortran-kmeans,A Fortran library for K-Means algorithm.,13,10,3,0,NO,NO,YES,NO,10
591,dns,mt5555,https://github.com/mt5555/dns,direct numerical simulation,11024,10,19,1,NO,NO,YES,NO,10
592,fitpackpp,jbaayen,https://github.com/jbaayen/fitpackpp,C++ binding for FITPACK B-spline curve and surface fitting routines,348,10,10,3,NO,YES,NO,NO,9
593,sosie,brodeau,https://github.com/brodeau/sosie,SOSIE is Only a Surface Interpolation Environment ,214307,10,8,7,NO,YES,YES,NO,11
594,cedar,cedar-framework,https://github.com/cedar-framework/cedar,"A robust, variational multigrid library implementing BoxMG on large scale parallel systems.",2369,10,3,10,NO,YES,YES,NO,10
595,rpn-calc-fortran,scivision,https://github.com/scivision/rpn-calc-fortran,Fortran 2018 Reverse Polish Notation (RPN) calculator. Over 100 functions not in standard Fortran,1500,10,0,0,NO,NO,YES,NO,10
596,adventure,Neko250,https://github.com/Neko250/adventure,Colossal Cave Adventure source code ! (1976),1556,10,2,0,NO,NO,NO,NO,11
597,BladeX,usuaero,https://github.com/usuaero/BladeX,Blade Element Propeller Code,11,10,3,0,NO,NO,NO,NO,10
598,for90-mom2,jmakitalo,https://github.com/jmakitalo/for90-mom2,Fortran 90 code for Method of Moments discretized integral operator formulations of EM scattering from dielectric/lossy/plasmonic/PEC objects (rewritten from the original for90-mom).,206,10,9,2,NO,YES,YES,NO,11
599,HARP_Opt,NREL,https://github.com/NREL/HARP_Opt,HARP_Opt: Horizontal Axis Rotor Performance Optimization,55511,10,12,1,NO,NO,YES,NO,10
600,lcmap-change-detection-c,USGS-EROS,https://github.com/USGS-EROS/lcmap-change-detection-c,LCMAP modules for change detection [WIP],962,10,20,2,NO,YES,YES,NO,10
601,NS_Solver_IBM,shantanu7,https://github.com/shantanu7/NS_Solver_IBM,CFD assignment 2D incompressible Navier-Stokes solver,1814,10,3,0,NO,NO,NO,NO,10
602,mxmx,ramos,https://github.com/ramos/mxmx,MIXMAX,504,9,0,0,NO,NO,NO,NO,9
603,pyavl,pankajp,https://github.com/pankajp/pyavl,PyAVL is a python based gui interface to the Athena Vortex Lattice (AVL) program for aerodynamic and other analysis,1300,9,3,1,NO,NO,YES,NO,9
604,ifeffit,newville,https://github.com/newville/ifeffit,ifeffit XAFS analysis programs,4163,9,4,2,NO,YES,YES,NO,9
605,feff85exafs,xraypy,https://github.com/xraypy/feff85exafs,Feff8L: Open Source theoretical EXAFS fitting standards,11003,9,4,12,YES,YES,YES,NO,9
606,ce-tddft,dceresoli,https://github.com/dceresoli/ce-tddft,Real-time TDDFT for Quantum-Espresso,3123,9,5,0,NO,NO,YES,NO,9
607,UCLCHEM,uclchem,https://github.com/uclchem/UCLCHEM,UCLCHEM - A gas-grain chemical code for Astrochemistry.,25950,9,6,0,NO,YES,YES,NO,9
608,FTeikPy,keurfonluu,https://github.com/keurfonluu/FTeikPy,FTeikPy is a Python module that computes accurate first arrival traveltimes in 2-D and 3-D heterogeneous isotropic velocity model.,5044,9,3,0,NO,NO,YES,NO,9
609,gt-swt,arnoldrobbins,https://github.com/arnoldrobbins/gt-swt,The Georgia Tech Software Tools Subsystem and C Compiler for Prime Computers,41911,9,0,0,NO,NO,YES,NO,9
